,0
0,10778.678
1,10690.497
2,11680.517
3,12129.009
4,9833.455
5,9463.409
6,10743.772
7,10828.37
8,10795.058
9,11656.5205
10,12000.239
11,9758.08
12,9419.618
13,10756.14
14,10830.445
15,10789.087
16,11713.359
17,12279.605
18,9811.687
19,9452.056
20,10748.764
21,10961.502
22,10968.821
23,11786.392
24,12214.463
25,9768.38
26,9356.861
27,10736.296
28,10985.387
29,10898.302
30,11760.448
31,12182.382
32,9953.899
33,9681.711
34,10884.426
35,10971.121
36,10838.906
37,11829.831
38,12183.35
39,9901.923
40,9689.915
41,10965.579
42,11044.126
43,10946.463
44,11705.549
45,12128.804
46,9982.386
47,9762.443
48,11027.152
49,11124.764
50,10898.448
51,11802.471
52,12293.806
53,9967.869
54,9681.745
55,10978.888
56,11080.784
57,10981.804
58,11910.311
59,12412.452
